,artist_name,song_name
0,Drake,Nice For What
1,Drake,God's Plan
2,Post Malone,Psycho (feat. Ty Dolla $ign)
3,BlocBoy JB,Look Alive (feat. Drake)
4,Rich The Kid,Plug Walk
5,"J Balvin, Cardi B, Bad Bunny",I Like It
6,Migos,Walk It Talk It (feat. Drake)
7,Cardi B,Be Careful
8,Lil Dicky,Freaky Friday (feat. Chris Brown)
9,Post Malone,Rockstar (feat. 21 Savage)
10,J. Cole,KOD
11,"Swae Lee, Slim Jxmmi, Rae Sremmurd",Powerglide (feat. Juicy J)
12,"Offset, Metro Boomin",Ric Flair Drip
13,"SZA, Kendrick Lamar",All The Stars
14,"Lil Baby, Drake",Yes Indeed
15,Migos,Stir Fry
16,J. Cole,Kevin's Heart
17,Cardi B,Drip (feat. Migos)
18,Cardi B,Bartier Cardi (feat. 21 Savage)
19,"Kendrick Lamar, Jay Rock, James Blake, Future",King's Dead
20,Cardi B,Ring (feat. Kehlani)
21,Post Malone,I Fall Apart
22,Post Malone,Rich & Sad
23,J. Cole,ATM
24,YoungBoy Never Broke Again,Outside Today
25,Post Malone,Ball For Me (feat. Nicki Minaj)
26,Post Malone,Better Now
27,Nicki Minaj,Chun-Li
28,J. Cole,Photograph
29,Famous Dex,Japan
30,Cardi B,Bodak Yellow
31,Post Malone,Paranoid
32,Post Malone,Spoil My Night (feat. Swae Lee)
33,Rich The Kid,New Freezer (feat. Kendrick Lamar)
34,J. Cole,Motiv8
35,Cardi B,Best Life (feat. Chance the Rapper)
36,"Nicki Minaj, Migos, Cardi B",MotorSport
37,Cardi B,I Do (feat. SZA)
38,"The Weeknd, Kendrick Lamar",Pray For Me
39,Childish Gambino,This Is America
40,Cardi B,Bickenhead
41,J. Cole,1985
42,Post Malone,Stay
43,Cardi B,Get Up 10
44,J. Cole,BRACKETS
45,Post Malone,Zack and Codeine
46,Post Malone,Takin' Shots
47,J. Cole,The Cut Off (feat. kiLL edward)
48,Lil Skies,Red Roses (feat. Landon Cube)
49,Cardi B,Thru Your Phone
50,Lil Yachty,NBAYOUNGBOAT (feat. YoungBoy Never Broke Again)
